generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766010572-WMInplnbKn727VJldbHe,2025-12-17 22:29:32.229,0,,,0,0,259,116,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1647,475,,lois
gen-1766010570-fau9nlcmc74rzwCtC2Op,2025-12-17 22:29:30.344,0,,,0,0,386,74,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,961,312,,lois
gen-1766010417-wxu3q7RaPbfBJKTv8FWP,2025-12-17 22:26:57.168,0,,,0,0,267,76,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,960,323,,lois
gen-1766010415-rKKccsaeTBDVwhi4X24U,2025-12-17 22:26:55.746,0,,,0,0,242,66,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,905,300,,lois
gen-1766010413-GvKs5gG3rDllnDK4rkSk,2025-12-17 22:26:53.431,0,,,0,0,386,59,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1289,506,,lois
gen-1766010390-dEEx6PlnTHodxeqAwy3g,2025-12-17 22:26:30.568,0,,,0,0,386,59,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,891,234,,lois
gen-1766010356-hMjtvlKRUPkF9zdJyYf2,2025-12-17 22:25:56.141,0,,,0,0,267,78,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1022,363,,lois
gen-1766010354-o5iNiIQsw0pdaRZLbNvj,2025-12-17 22:25:54.662,0,,,0,0,269,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,521,408,,lois
gen-1766010352-A6y631Nos0GArTxpcmqc,2025-12-17 22:25:52.845,0,,,0,0,386,85,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1232,212,,lois
gen-1766009815-So2g7RjWf2ZyqJPtNPOx,2025-12-17 22:16:55.052,0,,,0,0,267,80,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,914,239,,lois
gen-1766009813-4W4OgaEYO1HNgQmGDy8n,2025-12-17 22:16:53.926,0,,,0,0,236,25,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,406,288,,lois
gen-1766009812-QbN03rE29gQtwOgVLjm6,2025-12-17 22:16:52.397,0,,,0,0,389,50,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,788,255,,lois
gen-1766009739-jHyo99YBY1AknwpyFnS8,2025-12-17 22:15:39.178,0,,,0,0,267,104,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1136,259,,lois
gen-1766009737-2MddrpjmTzLVB3q98o5C,2025-12-17 22:15:37.749,0,,,0,0,241,7,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,129,736,,lois
