timestamp,model_kind,model_name,input_tokens,output_tokens,time_taken
1765991604.5078433,AgentType.PLANNER,google/gemma-3-27b-it:free,149.0,39.0,0.6220409870147705
1765991633.590993,AgentType.PLANNER,google/gemma-3-27b-it:free,149.0,39.0,0.6221489906311035
1765991715.1551676,AgentType.PLANNER,google/gemma-3-27b-it:free,149.0,40.0,0.5737638473510742
1765992025.5844896,AgentType.EXECUTOR,google/gemma-3-27b-it:free,398.0,27.0,0.6077110767364502
1765992044.7378535,AgentType.PLANNER,google/gemma-3-27b-it:free,152.0,10.0,0.21700048446655273
1765992539.837697,AgentType.PLANNER,google/gemma-3-27b-it:free,288.0,3.0,0.2375931739807129
1765992554.075259,AgentType.PLANNER,google/gemma-3-27b-it:free,298.0,52.0,1.028472661972046
1765992555.3441627,AgentType.EXECUTOR,google/gemma-3-27b-it:free,483.0,28.0,0.5560495853424072
1765992557.0088286,AgentType.REACTIVE,google/gemma-3-27b-it:free,332.0,83.0,1.194836139678955
1765992766.176515,AgentType.PLANNER,google/gemma-3-27b-it:free,282.0,3.0,0.22207355499267578
1765992776.6027055,AgentType.PLANNER,google/gemma-3-27b-it:free,279.0,3.0,0.21603870391845703
1765992883.5064335,AgentType.PLANNER,google/gemma-3-27b-it:free,280.0,3.0,0.3006625175476074
1765992916.8215115,AgentType.PLANNER,google/gemma-3-27b-it:free,256.0,296.0,5.006464242935181
1765992917.713966,AgentType.EXECUTOR,google/gemma-3-27b-it:free,539.0,9.0,0.2190990447998047
1765992920.8846216,AgentType.REACTIVE,google/gemma-3-27b-it:free,319.0,216.0,2.5066370964050293
1765992932.8544884,AgentType.PLANNER,google/gemma-3-27b-it:free,259.0,62.0,0.8182015419006348
1765992933.8837626,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.11002182960510254
1765992935.9489577,AgentType.REACTIVE,google/gemma-3-27b-it:free,281.0,101.0,1.0452525615692139
1765993353.1237545,AgentType.PLANNER,google/gemma-3-27b-it:free,257.0,66.0,1.242166519165039
1765993354.929321,AgentType.EXECUTOR,google/gemma-3-27b-it:free,495.0,66.0,1.0019547939300537
1765993357.1586783,AgentType.REACTIVE,google/gemma-3-27b-it:free,341.0,137.0,1.594252347946167
1765993369.7160523,AgentType.PLANNER,google/gemma-3-27b-it:free,516.0,128.0,2.2839889526367188
1765993370.4254096,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.11252284049987793
1765993372.5750358,AgentType.REACTIVE,google/gemma-3-27b-it:free,281.0,125.0,1.6485936641693115
1765993386.8491733,AgentType.PLANNER,google/gemma-3-27b-it:free,775.0,184.0,3.2558047771453857
1765993387.729125,AgentType.EXECUTOR,google/gemma-3-27b-it:free,487.0,3.0,0.21323084831237793
1765993390.0886688,AgentType.REACTIVE,google/gemma-3-27b-it:free,279.0,155.0,1.9524178504943848
1765993781.2913897,AgentType.PLANNER,google/gemma-3-27b-it:free,256.0,287.0,3.7153823375701904
1765993781.981589,AgentType.EXECUTOR,google/gemma-3-27b-it:free,539.0,9.0,0.017910480499267578
1765993784.976286,AgentType.REACTIVE,google/gemma-3-27b-it:free,319.0,210.0,2.1931698322296143
1765993801.737671,AgentType.PLANNER,google/gemma-3-27b-it:free,515.0,349.0,4.646371841430664
1765993802.7538443,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.10448813438415527
1765993805.0127394,AgentType.REACTIVE,google/gemma-3-27b-it:free,281.0,117.0,1.8505995273590088
1765993818.360266,AgentType.PLANNER,google/gemma-3-27b-it:free,259.0,60.0,0.9646632671356201
1765993819.3006098,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.06381964683532715
1765993821.1754885,AgentType.REACTIVE,google/gemma-3-27b-it:free,279.0,112.0,1.323732614517212
1765993924.1087599,AgentType.PLANNER,google/gemma-3-27b-it:free,518.0,121.0,2.1026294231414795
1765993925.645619,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.21828174591064453
1765993927.6734712,AgentType.REACTIVE,google/gemma-3-27b-it:free,280.0,108.0,1.5271990299224854
1765994228.7566876,AgentType.PLANNER,google/gemma-3-27b-it:free,259.0,331.0,4.9301323890686035
1765994230.322996,AgentType.EXECUTOR,google/gemma-3-27b-it:free,548.0,85.0,0.9695501327514648
1765994233.323112,AgentType.REACTIVE,google/gemma-3-27b-it:free,414.0,223.0,2.329787492752075
1765994258.7556918,AgentType.PLANNER,google/gemma-3-27b-it:free,259.0,62.0,1.1243274211883545
1765994259.7758985,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.2135770320892334
1765994262.4179091,AgentType.REACTIVE,google/gemma-3-27b-it:free,281.0,129.0,1.935352087020874
1765994558.075754,AgentType.PLANNER,google/gemma-3-27b-it:free,256.0,138.0,5.4348742961883545
1765994558.9869392,AgentType.EXECUTOR,google/gemma-3-27b-it:free,563.0,14.0,0.4115922451019287
1765994561.236436,AgentType.REACTIVE,google/gemma-3-27b-it:free,293.0,149.0,1.6390337944030762
1765994584.9009109,AgentType.PLANNER,google/gemma-3-27b-it:free,515.0,198.0,6.447041988372803
1765994585.8215506,AgentType.EXECUTOR,google/gemma-3-27b-it:free,491.0,3.0,0.21086668968200684
1765994588.7591913,AgentType.REACTIVE,google/gemma-3-27b-it:free,278.0,136.0,2.5379638671875
1765994827.4905891,AgentType.PLANNER,google/gemma-3-27b-it:free,259.0,60.0,1.032456636428833
